Titulo,Subtitulo,Link
ASSISTA: ex-diretor nega pedido de propina e chama vendedor de vacina de 'picareta',Dias nega indicação por Ricardo Barros e atribui a outro parlamentar do Paraná,https://g1.globo.com/politica/ao-vivo/senado-cpi-da-pandemia.ghtml
Omar Aziz: 'A que o senhor atribui esse ódio todo contra você?',Sem subtitulo,https://g1.globo.com/politica/video/video-o-que-o-senhor-atribui-esse-odio-todo-do-dominguetti-contra-voce-questiona-omar-aziz-9666923.ghtml
VALDO CRUZ: CPI vai investigar se documentos foram manipulados,Comissão convoca reverendo que negociou doses em nome do governo,https://g1.globo.com/politica/blog/valdo-cruz/post/2021/07/07/eventual-manipulacao-de-documentos-da-covaxin-e-grave-e-sera-investigada-diz-cupula-da-cpi.ghtml
Presidente do Haiti é assassinado a tiros em casa,Moise era conhecido como 'Homem da Banana' e dissolveu Parlamento; veja perfil,https://g1.globo.com/mundo/noticia/2021/07/07/presidente-do-haiti-e-morto-em-ataque-anuncia-primeiro-ministro.ghtml
VÍDEO registra tiroteio intenso na casa de Jovenel Moise,Premiê decreta emergência e diz não saber quem vai assumir governo,https://g1.globo.com/mundo/video/presidente-do-haiti-video-registra-tiroteio-no-local-onde-moise-e-a-mulher-foram-mortos-9666605.ghtml
"Mundo passa de 4 milhões de mortes por Covid, diz OMS",Entidade vê variantes vencendo 'corrida contra vacinas' por conta da desigualdade,https://g1.globo.com/mundo/noticia/2021/07/07/mundo-passa-de-4-milhoes-de-mortes-por-covid-mas-numero-subestima-o-total-de-vitimas-diz-oms.ghtml
"Denúncia de estupro em boate, gato baleado, brasileiro mais rico e mais vídeos",Sem subtitulo,https://g1.globo.com/playlist/videos-para-assistir-agora.ghtml
"39 anos e US$ 19,4 bilhões: quem é o novo brasileiro mais rico",Sem subtitulo,https://g1.globo.com/economia/noticia/2021/07/07/39-anos-e-us-194-bilhoes-quem-e-o-novo-brasileiro-mais-rico-do-mundo.ghtml
Quais filmes entram em cartaz até o fim do ano? Veja trailers,"'Annette', musical sobre amor doentio, abre o Festival de Cannes",https://g1.globo.com/pop-arte/cinema/noticia/2021/07/07/filmes-de-2021-quais-estreias-entram-em-cartaz-no-2o-semestre-veja-trailers-dos-lancamentos.ghtml
Dia Mundial do Chocolate: psicóloga descobre paixão por bolos e cupcakes,Doceira ensina receita de brigadeiro com pimenta,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2021/07/07/psicologa-comeca-a-vender-bolos-e-cupcakes-personalizados-na-pandemia-e-descobre-paixao-uma-terapia.ghtml
